Codigo;Nome;Icoef;Coeficientes
1; CAMARGOS     ;0;8.93E+02
1; CAMARGOS     ;1;6.21E-02
1; CAMARGOS     ;2;-1.10E-04
1; CAMARGOS     ;3;1.25E-07
1; CAMARGOS     ;4;-5.55E-11
2; ITUTINGA     ;0;8.86E+02
2; ITUTINGA     ;1;0.00E+00
2; ITUTINGA     ;2;0.00E+00
2; ITUTINGA     ;3;0.00E+00
2; ITUTINGA     ;4;0.00E+00
4; FUNIL-GRANDE ;0;8.08E+02
4; FUNIL-GRANDE ;1;0.00E+00
4; FUNIL-GRANDE ;2;0.00E+00
4; FUNIL-GRANDE ;3;0.00E+00
4; FUNIL-GRANDE ;4;0.00E+00
6; FURNAS       ;0;7.35E+02
6; FURNAS       ;1;3.50E-03
6; FURNAS       ;2;-1.97E-07
6; FURNAS       ;3;6.92E-12
6; FURNAS       ;4;-9.77E-17
