CodigoBarra;NomeBarra;Periodo;Carga;CodigoSubmercado;Swing
1;BARRA 1;1;59.69838231;1;True
2;BARRA 2;1;59.69838231;1;False
3;BARRA 3;1;59.69838231;1;False
4;BARRA 4;1;59.69838231;1;False
5;BARRA 5;1;59.69838231;1;False
6;BARRA 6;1;59.69838231;1;False
7;BARRA 7;1;59.69838231;1;False
8;BARRA 8;1;59.69838231;1;False
9;BARRA 9;1;59.69838231;1;False
10;BARRA 10;1;59.69838231;1;False
11;BARRA 11;1;59.69838231;1;False
12;BARRA 12;1;59.69838231;1;False
13;BARRA 13;1;59.69838231;1;False
14;BARRA 14;1;59.69838231;1;False
15;BARRA 15;1;59.69838231;1;False
16;BARRA 16;1;32.05109066;2;False
17;BARRA 17;1;32.05109066;2;False
18;BARRA 18;1;32.05109066;2;False
19;BARRA 19;1;32.05109066;2;False
20;BARRA 20;1;32.05109066;2;False
21;BARRA 21;1;32.05109066;2;False
22;BARRA 22;1;32.05109066;2;False
23;BARRA 23;1;32.05109066;2;False
24;BARRA 24;1;59.69838231;1;False
1;BARRA 1;2;57.55688406;1;True
2;BARRA 2;2;57.55688406;1;False
3;BARRA 3;2;57.55688406;1;False
4;BARRA 4;2;57.55688406;1;False
5;BARRA 5;2;57.55688406;1;False
6;BARRA 6;2;57.55688406;1;False
7;BARRA 7;2;57.55688406;1;False
8;BARRA 8;2;57.55688406;1;False
9;BARRA 9;2;57.55688406;1;False
10;BARRA 10;2;57.55688406;1;False
11;BARRA 11;2;57.55688406;1;False
12;BARRA 12;2;57.55688406;1;False
13;BARRA 13;2;57.55688406;1;False
14;BARRA 14;2;57.55688406;1;False
15;BARRA 15;2;57.55688406;1;False
16;BARRA 16;2;30.85953906;2;False
17;BARRA 17;2;30.85953906;2;False
18;BARRA 18;2;30.85953906;2;False
19;BARRA 19;2;30.85953906;2;False
20;BARRA 20;2;30.85953906;2;False
21;BARRA 21;2;30.85953906;2;False
22;BARRA 22;2;30.85953906;2;False
23;BARRA 23;2;30.85953906;2;False
24;BARRA 24;2;57.55688406;1;False
1;BARRA 1;3;55.99057028;1;True
2;BARRA 2;3;55.99057028;1;False
3;BARRA 3;3;55.99057028;1;False
4;BARRA 4;3;55.99057028;1;False
5;BARRA 5;3;55.99057028;1;False
6;BARRA 6;3;55.99057028;1;False
7;BARRA 7;3;55.99057028;1;False
8;BARRA 8;3;55.99057028;1;False
9;BARRA 9;3;55.99057028;1;False
10;BARRA 10;3;55.99057028;1;False
11;BARRA 11;3;55.99057028;1;False
12;BARRA 12;3;55.99057028;1;False
13;BARRA 13;3;55.99057028;1;False
14;BARRA 14;3;55.99057028;1;False
15;BARRA 15;3;55.99057028;1;False
16;BARRA 16;3;29.84919116;2;False
17;BARRA 17;3;29.84919116;2;False
18;BARRA 18;3;29.84919116;2;False
19;BARRA 19;3;29.84919116;2;False
20;BARRA 20;3;29.84919116;2;False
21;BARRA 21;3;29.84919116;2;False
22;BARRA 22;3;29.84919116;2;False
23;BARRA 23;3;29.84919116;2;False
24;BARRA 24;3;55.99057028;1;False
1;BARRA 1;4;54.61644222;1;True
2;BARRA 2;4;54.61644222;1;False
3;BARRA 3;4;54.61644222;1;False
4;BARRA 4;4;54.61644222;1;False
5;BARRA 5;4;54.61644222;1;False
6;BARRA 6;4;54.61644222;1;False
7;BARRA 7;4;54.61644222;1;False
8;BARRA 8;4;54.61644222;1;False
9;BARRA 9;4;54.61644222;1;False
10;BARRA 10;4;54.61644222;1;False
11;BARRA 11;4;54.61644222;1;False
12;BARRA 12;4;54.61644222;1;False
13;BARRA 13;4;54.61644222;1;False
14;BARRA 14;4;54.61644222;1;False
15;BARRA 15;4;54.61644222;1;False
16;BARRA 16;4;29.18203209;2;False
17;BARRA 17;4;29.18203209;2;False
18;BARRA 18;4;29.18203209;2;False
19;BARRA 19;4;29.18203209;2;False
20;BARRA 20;4;29.18203209;2;False
21;BARRA 21;4;29.18203209;2;False
22;BARRA 22;4;29.18203209;2;False
23;BARRA 23;4;29.18203209;2;False
24;BARRA 24;4;54.61644222;1;False
1;BARRA 1;5;53.6157036;1;True
2;BARRA 2;5;53.6157036;1;False
3;BARRA 3;5;53.6157036;1;False
4;BARRA 4;5;53.6157036;1;False
5;BARRA 5;5;53.6157036;1;False
6;BARRA 6;5;53.6157036;1;False
7;BARRA 7;5;53.6157036;1;False
8;BARRA 8;5;53.6157036;1;False
9;BARRA 9;5;53.6157036;1;False
10;BARRA 10;5;53.6157036;1;False
11;BARRA 11;5;53.6157036;1;False
12;BARRA 12;5;53.6157036;1;False
13;BARRA 13;5;53.6157036;1;False
14;BARRA 14;5;53.6157036;1;False
15;BARRA 15;5;53.6157036;1;False
16;BARRA 16;5;28.38034301;2;False
17;BARRA 17;5;28.38034301;2;False
18;BARRA 18;5;28.38034301;2;False
19;BARRA 19;5;28.38034301;2;False
20;BARRA 20;5;28.38034301;2;False
21;BARRA 21;5;28.38034301;2;False
22;BARRA 22;5;28.38034301;2;False
23;BARRA 23;5;28.38034301;2;False
24;BARRA 24;5;53.6157036;1;False
1;BARRA 1;6;52.86617922;1;True
2;BARRA 2;6;52.86617922;1;False
3;BARRA 3;6;52.86617922;1;False
4;BARRA 4;6;52.86617922;1;False
5;BARRA 5;6;52.86617922;1;False
6;BARRA 6;6;52.86617922;1;False
7;BARRA 7;6;52.86617922;1;False
8;BARRA 8;6;52.86617922;1;False
9;BARRA 9;6;52.86617922;1;False
10;BARRA 10;6;52.86617922;1;False
11;BARRA 11;6;52.86617922;1;False
12;BARRA 12;6;52.86617922;1;False
13;BARRA 13;6;52.86617922;1;False
14;BARRA 14;6;52.86617922;1;False
15;BARRA 15;6;52.86617922;1;False
16;BARRA 16;6;28.06460928;2;False
17;BARRA 17;6;28.06460928;2;False
18;BARRA 18;6;28.06460928;2;False
19;BARRA 19;6;28.06460928;2;False
20;BARRA 20;6;28.06460928;2;False
21;BARRA 21;6;28.06460928;2;False
22;BARRA 22;6;28.06460928;2;False
23;BARRA 23;6;28.06460928;2;False
24;BARRA 24;6;52.86617922;1;False
1;BARRA 1;7;52.39532414;1;True
2;BARRA 2;7;52.39532414;1;False
3;BARRA 3;7;52.39532414;1;False
4;BARRA 4;7;52.39532414;1;False
5;BARRA 5;7;52.39532414;1;False
6;BARRA 6;7;52.39532414;1;False
7;BARRA 7;7;52.39532414;1;False
8;BARRA 8;7;52.39532414;1;False
9;BARRA 9;7;52.39532414;1;False
10;BARRA 10;7;52.39532414;1;False
11;BARRA 11;7;52.39532414;1;False
12;BARRA 12;7;52.39532414;1;False
13;BARRA 13;7;52.39532414;1;False
14;BARRA 14;7;52.39532414;1;False
15;BARRA 15;7;52.39532414;1;False
