CodigoSubmercado;Periodo;Demanda;CustoDeficit
1;1;1164.010452;10000000
1;2;1130.117934;10000000
1;3;1102.622259;10000000
1;4;1079.8839;10000000
1;5;1062.709182;10000000
1;6;1050.82933;10000000
1;7;1041.475962;10000000
1;8;1039.352641;10000000
1;9;1038.841968;10000000
1;10;1052.522613;10000000
1;11;1080.045165;10000000
1;12;1112.674441;10000000
1;13;1151.512418;10000000
1;14;1179.303745;10000000
1;15;1196.962259;10000000
1;16;1216.23342;10000000
1;17;1240.04688;10000000
1;18;1256.334639;10000000
1;19;1265.446109;10000000
1;20;1279.959955;10000000
1;21;1298.021631;10000000
1;22;1312.024804;10000000
1;23;1322.507025;10000000
1;24;1323.286473;10000000
1;25;1309.874604;10000000
1;26;1313.771841;10000000
1;27;1335.542611;10000000
1;28;1351.857248;10000000
1;29;1365.699157;10000000
1;30;1377.337112;10000000
1;31;1386.744234;10000000
1;32;1394.968746;10000000
1;33;1402.763219;10000000
1;34;1405.719743;10000000
1;35;1400.397999;10000000
1;36;1415.153743;10000000
1;37;1449.476301;10000000
1;38;1457.620182;10000000
1;39;1437.542694;10000000
1;40;1427.893675;10000000
1;41;1426.092884;10000000
1;42;1420.636752;10000000
1;43;1405.854131;10000000
1;44;1378.197191;10000000
1;45;1339.278581;10000000
1;46;1298.98922;10000000
1;47;1261.145712;10000000
1;48;1220.748839;10000000
2;1;319.2508578;10000000
2;2;307.1022312;10000000
2;3;299.9259404;10000000
2;4;292.9377925;10000000
2;5;286.7559692;10000000
2;6;283.1006301;10000000
2;7;281.4342256;10000000
2;8;281.1385733;10000000
2;9;280.8966757;10000000
2;10;284.6864022;10000000
2;11;291.9702027;10000000
2;12;307.2366185;10000000
2;13;329.7062023;10000000
2;14;349.004242;10000000
2;15;363.2224358;10000000
2;16;378.1125667;10000000
2;17;393.1639625;10000000
2;18;401.9797801;10000000
2;19;402.5442075;10000000
2;20;407.6240536;10000000
2;21;417.9718882;10000000
2;22;423.4011418;10000000
2;23;426.3307884;10000000
2;24;414.9884866;10000000
2;25;387.680954;10000000
2;26;382.8967603;10000000
2;27;400.1521106;10000000
2;28;411.0912501;10000000
2;29;419.4770278;10000000
2;30;424.5299964;10000000
2;31;426.0620136;10000000
2;32;427.6746631;10000000
2;33;431.3568796;10000000
2;34;430.5236775;10000000
2;35;423.9118141;10000000
2;36;426.2770335;10000000
2;37;439.7964124;10000000
2;38;441.4359394;10000000
2;39;432.8888966;10000000
2;40;423.7774266;10000000
2;41;413.4833469;10000000
2;42;405.4200992;10000000
2;43;400.3402531;10000000
2;44;392.0619853;10000000
2;45;381.7947832;10000000
2;46;370.6137461;10000000
2;47;357.8738147;10000000
2;48;344.4350683;10000000
