Codigo;Periodo;Nome;Afluencia;Retirada
1;1; CAMARGOS     ;92;0.6
2;1; ITUTINGA     ;0;0
4;1; FUNIL-GRANDE ;175;3.8
6;1; FURNAS       ;523;11
1;2; CAMARGOS     ;92;0.6
2;2; ITUTINGA     ;0;0
4;2; FUNIL-GRANDE ;175;3.8
6;2; FURNAS       ;523;11
1;3; CAMARGOS     ;92;0.6
2;3; ITUTINGA     ;0;0
4;3; FUNIL-GRANDE ;175;3.8
6;3; FURNAS       ;523;11
1;4; CAMARGOS     ;92;0.6
2;4; ITUTINGA     ;0;0
4;4; FUNIL-GRANDE ;175;3.8
6;4; FURNAS       ;523;11
1;5; CAMARGOS     ;92;0.6
2;5; ITUTINGA     ;0;0
4;5; FUNIL-GRANDE ;175;3.8
6;5; FURNAS       ;523;11
1;6; CAMARGOS     ;92;0.6
2;6; ITUTINGA     ;0;0
4;6; FUNIL-GRANDE ;175;3.8
6;6; FURNAS       ;523;11
1;7; CAMARGOS     ;92;0.6
2;7; ITUTINGA     ;0;0
4;7; FUNIL-GRANDE ;175;3.8
6;7; FURNAS       ;523;11
1;8; CAMARGOS     ;92;0.6
2;8; ITUTINGA     ;0;0
4;8; FUNIL-GRANDE ;175;3.8
6;8; FURNAS       ;523;11
1;9; CAMARGOS     ;92;0.6
2;9; ITUTINGA     ;0;0
4;9; FUNIL-GRANDE ;175;3.8
6;9; FURNAS       ;523;11
1;10; CAMARGOS     ;92;0.6
2;10; ITUTINGA     ;0;0
4;10; FUNIL-GRANDE ;175;3.8
6;10; FURNAS       ;523;11
1;11; CAMARGOS     ;92;0.6
2;11; ITUTINGA     ;0;0
4;11; FUNIL-GRANDE ;175;3.8
6;11; FURNAS       ;523;11
1;12; CAMARGOS     ;92;0.6
2;12; ITUTINGA     ;0;0
4;12; FUNIL-GRANDE ;175;3.8
6;12; FURNAS       ;523;11
1;13; CAMARGOS     ;92;0.6
2;13; ITUTINGA     ;0;0
4;13; FUNIL-GRANDE ;175;3.8
6;13; FURNAS       ;523;11
1;14; CAMARGOS     ;92;0.6
2;14; ITUTINGA     ;0;0
4;14; FUNIL-GRANDE ;175;3.8
6;14; FURNAS       ;523;11
1;15; CAMARGOS     ;92;0.6
2;15; ITUTINGA     ;0;0
4;15; FUNIL-GRANDE ;175;3.8
6;15; FURNAS       ;523;11
1;16; CAMARGOS     ;92;0.6
2;16; ITUTINGA     ;0;0
4;16; FUNIL-GRANDE ;175;3.8
6;16; FURNAS       ;523;11
1;17; CAMARGOS     ;92;0.6
2;17; ITUTINGA     ;0;0
4;17; FUNIL-GRANDE ;175;3.8
6;17; FURNAS       ;523;11
1;18; CAMARGOS     ;92;0.6
2;18; ITUTINGA     ;0;0
