CodigoBarra;NomeBarra;Periodo;Carga;CodigoSubmercado;Swing
1;BARRA 1;1;22.9600332;1;True
2;BARRA 2;1;22.9600332;1;False
3;BARRA 3;1;22.9600332;1;False
4;BARRA 4;1;22.9600332;1;False
5;BARRA 5;1;22.9600332;1;False
6;BARRA 6;1;22.9600332;1;False
7;BARRA 7;1;22.9600332;1;False
8;BARRA 8;1;22.9600332;1;False
9;BARRA 9;1;22.9600332;1;False
10;BARRA 10;1;22.9600332;1;False
11;BARRA 11;1;22.9600332;1;False
12;BARRA 12;1;22.9600332;1;False
13;BARRA 13;1;22.9600332;1;False
14;BARRA 14;1;22.9600332;1;False
15;BARRA 15;1;22.9600332;2;False
16;BARRA 16;1;22.9600332;1;False
17;BARRA 17;1;22.9600332;1;False
18;BARRA 18;1;22.9600332;1;False
19;BARRA 19;1;22.9600332;1;False
20;BARRA 20;1;22.9600332;2;False
21;BARRA 21;1;22.9600332;1;False
22;BARRA 22;1;22.9600332;1;False
23;BARRA 23;1;22.9600332;1;False
24;BARRA 24;1;22.9600332;2;False
1;BARRA 1;2;22.1364117;1;True
2;BARRA 2;2;22.1364117;1;False
3;BARRA 3;2;22.1364117;1;False
4;BARRA 4;2;22.1364117;1;False
5;BARRA 5;2;22.1364117;1;False
6;BARRA 6;2;22.1364117;1;False
7;BARRA 7;2;22.1364117;1;False
8;BARRA 8;2;22.1364117;1;False
9;BARRA 9;2;22.1364117;1;False
10;BARRA 10;2;22.1364117;1;False
11;BARRA 11;2;22.1364117;1;False
12;BARRA 12;2;22.1364117;1;False
13;BARRA 13;2;22.1364117;1;False
14;BARRA 14;2;22.1364117;1;False
15;BARRA 15;2;22.1364117;2;False
16;BARRA 16;2;22.1364117;1;False
17;BARRA 17;2;22.1364117;1;False
18;BARRA 18;2;22.1364117;1;False
19;BARRA 19;2;22.1364117;1;False
20;BARRA 20;2;22.1364117;2;False
21;BARRA 21;2;22.1364117;1;False
22;BARRA 22;2;22.1364117;1;False
23;BARRA 23;2;22.1364117;1;False
24;BARRA 24;2;22.1364117;2;False
1;BARRA 1;3;21.53400649;1;True
2;BARRA 2;3;21.53400649;1;False
3;BARRA 3;3;21.53400649;1;False
4;BARRA 4;3;21.53400649;1;False
5;BARRA 5;3;21.53400649;1;False
6;BARRA 6;3;21.53400649;1;False
7;BARRA 7;3;21.53400649;1;False
8;BARRA 8;3;21.53400649;1;False
9;BARRA 9;3;21.53400649;1;False
10;BARRA 10;3;21.53400649;1;False
11;BARRA 11;3;21.53400649;1;False
12;BARRA 12;3;21.53400649;1;False
13;BARRA 13;3;21.53400649;1;False
14;BARRA 14;3;21.53400649;1;False
15;BARRA 15;3;21.53400649;2;False
16;BARRA 16;3;21.53400649;1;False
17;BARRA 17;3;21.53400649;1;False
18;BARRA 18;3;21.53400649;1;False
19;BARRA 19;3;21.53400649;1;False
20;BARRA 20;3;21.53400649;2;False
21;BARRA 21;3;21.53400649;1;False
22;BARRA 22;3;21.53400649;1;False
23;BARRA 23;3;21.53400649;1;False
24;BARRA 24;3;21.53400649;2;False
1;BARRA 1;4;21.00551603;1;True
2;BARRA 2;4;21.00551603;1;False
3;BARRA 3;4;21.00551603;1;False
4;BARRA 4;4;21.00551603;1;False
5;BARRA 5;4;21.00551603;1;False
6;BARRA 6;4;21.00551603;1;False
7;BARRA 7;4;21.00551603;1;False
8;BARRA 8;4;21.00551603;1;False
9;BARRA 9;4;21.00551603;1;False
10;BARRA 10;4;21.00551603;1;False
11;BARRA 11;4;21.00551603;1;False
12;BARRA 12;4;21.00551603;1;False
13;BARRA 13;4;21.00551603;1;False
14;BARRA 14;4;21.00551603;1;False
15;BARRA 15;4;21.00551603;2;False
16;BARRA 16;4;21.00551603;1;False
17;BARRA 17;4;21.00551603;1;False
18;BARRA 18;4;21.00551603;1;False
19;BARRA 19;4;21.00551603;1;False
20;BARRA 20;4;21.00551603;2;False
21;BARRA 21;4;21.00551603;1;False
22;BARRA 22;4;21.00551603;1;False
23;BARRA 23;4;21.00551603;1;False
24;BARRA 24;4;21.00551603;2;False
1;BARRA 1;5;20.62063136;1;True
2;BARRA 2;5;20.62063136;1;False
3;BARRA 3;5;20.62063136;1;False
4;BARRA 4;5;20.62063136;1;False
5;BARRA 5;5;20.62063136;1;False
6;BARRA 6;5;20.62063136;1;False
7;BARRA 7;5;20.62063136;1;False
8;BARRA 8;5;20.62063136;1;False
9;BARRA 9;5;20.62063136;1;False
10;BARRA 10;5;20.62063136;1;False
11;BARRA 11;5;20.62063136;1;False
12;BARRA 12;5;20.62063136;1;False
13;BARRA 13;5;20.62063136;1;False
14;BARRA 14;5;20.62063136;1;False
15;BARRA 15;5;20.62063136;2;False
16;BARRA 16;5;20.62063136;1;False
17;BARRA 17;5;20.62063136;1;False
18;BARRA 18;5;20.62063136;1;False
19;BARRA 19;5;20.62063136;1;False
20;BARRA 20;5;20.62063136;2;False
21;BARRA 21;5;20.62063136;1;False
22;BARRA 22;5;20.62063136;1;False
23;BARRA 23;5;20.62063136;1;False
24;BARRA 24;5;20.62063136;2;False
1;BARRA 1;6;20.33236384;1;True
2;BARRA 2;6;20.33236384;1;False
3;BARRA 3;6;20.33236384;1;False
4;BARRA 4;6;20.33236384;1;False
5;BARRA 5;6;20.33236384;1;False
6;BARRA 6;6;20.33236384;1;False
7;BARRA 7;6;20.33236384;1;False
8;BARRA 8;6;20.33236384;1;False
9;BARRA 9;6;20.33236384;1;False
10;BARRA 10;6;20.33236384;1;False
11;BARRA 11;6;20.33236384;1;False
12;BARRA 12;6;20.33236384;1;False
13;BARRA 13;6;20.33236384;1;False
14;BARRA 14;6;20.33236384;1;False
15;BARRA 15;6;20.33236384;2;False
16;BARRA 16;6;20.33236384;1;False
17;BARRA 17;6;20.33236384;1;False
18;BARRA 18;6;20.33236384;1;False
19;BARRA 19;6;20.33236384;1;False
20;BARRA 20;6;20.33236384;2;False
21;BARRA 21;6;20.33236384;1;False
22;BARRA 22;6;20.33236384;1;False
23;BARRA 23;6;20.33236384;1;False
24;BARRA 24;6;20.33236384;2;False
1;BARRA 1;7;20.1512727;1;True
2;BARRA 2;7;20.1512727;1;False
3;BARRA 3;7;20.1512727;1;False
4;BARRA 4;7;20.1512727;1;False
5;BARRA 5;7;20.1512727;1;False
6;BARRA 6;7;20.1512727;1;False
7;BARRA 7;7;20.1512727;1;False
8;BARRA 8;7;20.1512727;1;False
9;BARRA 9;7;20.1512727;1;False
10;BARRA 10;7;20.1512727;1;False
11;BARRA 11;7;20.1512727;1;False
12;BARRA 12;7;20.1512727;1;False
13;BARRA 13;7;20.1512727;1;False
14;BARRA 14;7;20.1512727;1;False
15;BARRA 15;7;20.1512727;2;False
16;BARRA 16;7;20.1512727;1;False
17;BARRA 17;7;20.1512727;1;False
18;BARRA 18;7;20.1512727;1;False
19;BARRA 19;7;20.1512727;1;False
20;BARRA 20;7;20.1512727;2;False
21;BARRA 21;7;20.1512727;1;False
22;BARRA 22;7;20.1512727;1;False
23;BARRA 23;7;20.1512727;1;False
24;BARRA 24;7;20.1512727;2;False
1;BARRA 1;8;20.07419018;1;True
2;BARRA 2;8;20.07419018;1;False
3;BARRA 3;8;20.07419018;1;False
4;BARRA 4;8;20.07419018;1;False
5;BARRA 5;8;20.07419018;1;False
6;BARRA 6;8;20.07419018;1;False
7;BARRA 7;8;20.07419018;1;False
8;BARRA 8;8;20.07419018;1;False
9;BARRA 9;8;20.07419018;1;False
10;BARRA 10;8;20.07419018;1;False
11;BARRA 11;8;20.07419018;1;False
12;BARRA 12;8;20.07419018;1;False
13;BARRA 13;8;20.07419018;1;False
14;BARRA 14;8;20.07419018;1;False
15;BARRA 15;8;20.07419018;2;False
16;BARRA 16;8;20.07419018;1;False
17;BARRA 17;8;20.07419018;1;False
18;BARRA 18;8;20.07419018;1;False
19;BARRA 19;8;20.07419018;1;False
20;BARRA 20;8;20.07419018;2;False
21;BARRA 21;8;20.07419018;1;False
22;BARRA 22;8;20.07419018;1;False
