CodigoSubmercado;Periodo;Demanda;CustoDeficit
1;1;551.0407968;10000
1;2;531.2738808;10000
1;3;516.8161557;10000
1;4;504.1323846;10000
1;5;494.8951527;10000
1;6;487.9767321;10000
1;7;483.6305448;10000
1;8;481.7805642;10000
1;9;484.4288241;10000
1;10;487.3938615;10000
1;11;496.7958177;10000
1;12;512.672706;10000
1;13;530.412246;10000
1;14;534.8724732;10000
1;15;549.6089625;10000
1;16;564.3327807;10000
1;17;578.6257815;10000
1;18;592.0824897;10000
1;19;601.3197216;10000
1;20;610.74702;10000
1;21;622.9999737;10000
1;22;630.9320823;10000
1;23;635.9118246;10000
1;24;639.2189817;10000
1;25;635.8484691;10000
1;26;630.894069;10000
1;27;640.5874605;10000
1;28;648.0760806;10000
1;29;655.4379897;10000
1;30;658.6564491;10000
1;31;660.9499182;10000
1;32;662.6858589;10000
1;33;660.3290343;10000
1;34;657.8581698;10000
1;35;647.2524591;10000
1;36;652.6630188;10000
1;37;666.4491756;10000
1;38;676.890162;10000
1;39;674.5079952;10000
1;40;664.6752216;10000
1;41;656.0842158;10000
1;42;652.8404142;10000
1;43;647.4171834;10000
1;44;637.7237919;10000
1;45;625.192074;10000
1;46;612.1915254;10000
1;47;596.0232018;10000
1;48;574.7104116;10000
2;1;147.9224214;10000
2;2;142.423164;10000
2;3;137.7601992;10000
2;4;134.6811219;10000
2;5;130.9811607;10000
2;6;129.5239842;10000
2;7;128.6243361;10000
2;8;128.5609806;10000
2;9;129.2832333;10000
2;10;130.5630144;10000
2;11;135.5427567;10000
2;12;142.3091241;10000
2;13;152.9908614;10000
2;14;161.1003654;10000
2;15;169.0704873;10000
2;16;175.3046685;10000
2;17;183.0593817;10000
2;18;185.6062728;10000
2;19;185.3655219;10000
2;20;186.9113961;10000
2;21;189.9778023;10000
2;22;193.1329062;10000
2;23;194.8561758;10000
2;24;190.0158156;10000
2;25;179.7015402;10000
2;26;176.6097918;10000
2;27;182.6412354;10000
2;28;188.6473368;10000
2;29;191.1435435;10000
2;30;192.1825737;10000
2;31;193.107564;10000
2;32;194.374674;10000
2;33;194.9702157;10000
2;34;195.1602822;10000
2;35;193.4496837;10000
2;36;193.8044745;10000
2;37;197.6184756;10000
2;38;209.2632165;10000
2;39;206.7796809;10000
2;40;201.6098721;10000
2;41;195.4770597;10000
2;42;191.0675169;10000
2;43;186.6072897;10000
2;44;182.5145244;10000
2;45;176.5591074;10000
2;46;171.0218367;10000
2;47;162.696924;10000
2;48;155.3983704;10000
