Posto;Codigo;Nome;Periodo;Afluencia
1;1;CAMARGOS;1;100
1;1;CAMARGOS;2;100
1;1;CAMARGOS;3;100
1;1;CAMARGOS;4;100
1;1;CAMARGOS;5;100
1;1;CAMARGOS;6;100
1;1;CAMARGOS;7;100
1;1;CAMARGOS;8;100
1;1;CAMARGOS;9;100
1;1;CAMARGOS;10;100
1;1;CAMARGOS;11;100
1;1;CAMARGOS;12;100
1;1;CAMARGOS;13;100
1;1;CAMARGOS;14;100
1;1;CAMARGOS;15;100
1;1;CAMARGOS;16;100
1;1;CAMARGOS;17;100
1;1;CAMARGOS;18;100
1;1;CAMARGOS;19;100
1;1;CAMARGOS;20;100
1;1;CAMARGOS;21;100
1;1;CAMARGOS;22;100
1;1;CAMARGOS;23;100
1;1;CAMARGOS;24;100
1;1;CAMARGOS;25;100
1;1;CAMARGOS;26;100
1;1;CAMARGOS;27;100
1;1;CAMARGOS;28;100
1;1;CAMARGOS;29;100
1;1;CAMARGOS;30;100
1;1;CAMARGOS;31;100
1;1;CAMARGOS;32;100
1;1;CAMARGOS;33;10
1;1;CAMARGOS;34;10
1;1;CAMARGOS;35;10
1;1;CAMARGOS;36;10
1;1;CAMARGOS;37;10
1;1;CAMARGOS;38;10
1;1;CAMARGOS;39;10
1;1;CAMARGOS;40;10
1;1;CAMARGOS;41;10
1;1;CAMARGOS;42;10
1;1;CAMARGOS;43;10
1;1;CAMARGOS;44;10
1;1;CAMARGOS;45;10
1;1;CAMARGOS;46;10
1;1;CAMARGOS;47;10
1;1;CAMARGOS;48;10
2;2;ITUTINGA;1;100
2;2;ITUTINGA;2;100
2;2;ITUTINGA;3;100
2;2;ITUTINGA;4;100
2;2;ITUTINGA;5;100
2;2;ITUTINGA;6;100
2;2;ITUTINGA;7;100
2;2;ITUTINGA;8;100
2;2;ITUTINGA;9;100
2;2;ITUTINGA;10;100
2;2;ITUTINGA;11;100
2;2;ITUTINGA;12;100
2;2;ITUTINGA;13;100
2;2;ITUTINGA;14;100
2;2;ITUTINGA;15;100
2;2;ITUTINGA;16;100
2;2;ITUTINGA;17;100
2;2;ITUTINGA;18;100
2;2;ITUTINGA;19;100
2;2;ITUTINGA;20;100
2;2;ITUTINGA;21;100
2;2;ITUTINGA;22;100
2;2;ITUTINGA;23;100
2;2;ITUTINGA;24;100
2;2;ITUTINGA;25;100
2;2;ITUTINGA;26;100
2;2;ITUTINGA;27;100
2;2;ITUTINGA;28;100
2;2;ITUTINGA;29;100
2;2;ITUTINGA;30;100
2;2;ITUTINGA;31;100
2;2;ITUTINGA;32;100
2;2;ITUTINGA;33;10
2;2;ITUTINGA;34;10
2;2;ITUTINGA;35;10
2;2;ITUTINGA;36;10
2;2;ITUTINGA;37;10
2;2;ITUTINGA;38;10
2;2;ITUTINGA;39;10
2;2;ITUTINGA;40;10
2;2;ITUTINGA;41;10
2;2;ITUTINGA;42;10
2;2;ITUTINGA;43;10
2;2;ITUTINGA;44;10
2;2;ITUTINGA;45;10
2;2;ITUTINGA;46;10
2;2;ITUTINGA;47;10
2;2;ITUTINGA;48;10
4;4;FUNIL_GRANDE;1;100
4;4;FUNIL_GRANDE;2;100
4;4;FUNIL_GRANDE;3;100
4;4;FUNIL_GRANDE;4;100
4;4;FUNIL_GRANDE;5;100
4;4;FUNIL_GRANDE;6;100
4;4;FUNIL_GRANDE;7;100
4;4;FUNIL_GRANDE;8;100
4;4;FUNIL_GRANDE;9;100
4;4;FUNIL_GRANDE;10;100
4;4;FUNIL_GRANDE;11;100
4;4;FUNIL_GRANDE;12;100
4;4;FUNIL_GRANDE;13;100
4;4;FUNIL_GRANDE;14;100
4;4;FUNIL_GRANDE;15;100
4;4;FUNIL_GRANDE;16;100
4;4;FUNIL_GRANDE;17;100
4;4;FUNIL_GRANDE;18;100
4;4;FUNIL_GRANDE;19;100
4;4;FUNIL_GRANDE;20;100
4;4;FUNIL_GRANDE;21;100
4;4;FUNIL_GRANDE;22;100
4;4;FUNIL_GRANDE;23;100
4;4;FUNIL_GRANDE;24;100
4;4;FUNIL_GRANDE;25;100
4;4;FUNIL_GRANDE;26;100
4;4;FUNIL_GRANDE;27;100
4;4;FUNIL_GRANDE;28;100
4;4;FUNIL_GRANDE;29;100
4;4;FUNIL_GRANDE;30;100
4;4;FUNIL_GRANDE;31;100
4;4;FUNIL_GRANDE;32;100
4;4;FUNIL_GRANDE;33;10
4;4;FUNIL_GRANDE;34;10
4;4;FUNIL_GRANDE;35;10
4;4;FUNIL_GRANDE;36;10
4;4;FUNIL_GRANDE;37;10
4;4;FUNIL_GRANDE;38;10
4;4;FUNIL_GRANDE;39;10
4;4;FUNIL_GRANDE;40;10
4;4;FUNIL_GRANDE;41;10
4;4;FUNIL_GRANDE;42;10
4;4;FUNIL_GRANDE;43;10
4;4;FUNIL_GRANDE;44;10
4;4;FUNIL_GRANDE;45;10
4;4;FUNIL_GRANDE;46;10
4;4;FUNIL_GRANDE;47;10
4;4;FUNIL_GRANDE;48;10
6;6;FURNAS;1;100
6;6;FURNAS;2;100
6;6;FURNAS;3;100
6;6;FURNAS;4;100
6;6;FURNAS;5;100
6;6;FURNAS;6;100
6;6;FURNAS;7;100
6;6;FURNAS;8;100
6;6;FURNAS;9;100
6;6;FURNAS;10;100
6;6;FURNAS;11;100
6;6;FURNAS;12;100
6;6;FURNAS;13;100
6;6;FURNAS;14;100
6;6;FURNAS;15;100
6;6;FURNAS;16;100
6;6;FURNAS;17;100
6;6;FURNAS;18;100
6;6;FURNAS;19;100
6;6;FURNAS;20;100
6;6;FURNAS;21;100
6;6;FURNAS;22;100
6;6;FURNAS;23;100
6;6;FURNAS;24;100
6;6;FURNAS;25;100
6;6;FURNAS;26;100
6;6;FURNAS;27;100
6;6;FURNAS;28;100
6;6;FURNAS;29;100
6;6;FURNAS;30;100
6;6;FURNAS;31;100
6;6;FURNAS;32;100
6;6;FURNAS;33;10
6;6;FURNAS;34;10
6;6;FURNAS;35;10
6;6;FURNAS;36;10
6;6;FURNAS;37;10
6;6;FURNAS;38;10
6;6;FURNAS;39;10
6;6;FURNAS;40;10
6;6;FURNAS;41;10
6;6;FURNAS;42;10
6;6;FURNAS;43;10
