Codigo;Nome;Conjunto;Unidade;Pmin;Pmax;Ton;Toff;StatusInic;Tinic;Barra;MaxTurb;CustoPartida;CustoDesliga;Hef
1; CAMARGOS     ;1;2;2.3;23;0;0;0;0;0;107;0;0;24.6
2; ITUTINGA     ;1;2;1.25;12.5;0;0;0;0;0;58;0;0;25
2; ITUTINGA     ;2;1;1.4;14;0;0;0;0;0;65;0;0;25
2; ITUTINGA     ;3;1;1.3;13;0;0;0;0;0;60;0;0;25
4; FUNIL-GRANDE ;1;3;6;60;0;0;0;0;0;191;0;0;34.9
6; FURNAS       ;1;6;15.2;152;0;0;0;0;0;188;0;0;90
6; FURNAS       ;2;2;15.2;152;0;0;0;0;0;189;0;0;89.3
7; M. DE MORAES ;1;2;4;40;0;0;0;0;0;111;0;0;41.8
7; M. DE MORAES ;2;2;4.8;48;0;0;0;0;0;126;0;0;43.9
7; M. DE MORAES ;3;4;4.9;49;0;0;0;0;0;131;0;0;43.2
7; M. DE MORAES ;4;2;5.2;52;0;0;0;0;0;137;0;0;43.8
8; ESTREITO     ;1;6;17.5;175;0;0;0;0;0;319;0;0;61.7
9; JAGUARA      ;1;4;10.6;106;0;0;0;0;0;269;0;0;44.1
10; IGARAPAVA    ;1;5;4.2;42;0;0;0;0;0;275;0;0;17
11; VOLTA GRANDE ;1;4;9.5;95;0;0;0;0;0;397;0;0;26.6
12; P. COLOMBIA  ;1;3;8;80;0;0;0;0;0;467;0;0;18.9
14; CACONDE      ;1;1;4.12;41.2;0;0;0;0;0;48;0;0;101
14; CACONDE      ;2;1;3.92;39.2;0;0;0;0;0;45;0;0;101
15; E. DA CUNHA  ;1;4;2.72;27.2;0;0;0;0;0;36;0;0;88
16; A.S.OLIVEIRA ;1;2;1.6;16;0;0;0;0;0;86;0;0;21.7
17; MARIMBONDO   ;1;8;18;180;0;0;0;0;0;335;0;0;59.2
18; A. VERMELHA  ;1;6;23.27;232.7;0;0;0;0;0;493;0;0;53.5
20; BATALHA      ;1;2;2.625;26.25;0;0;0;0;0;77;0;0;37.7
21; SERRA FACAO  ;1;2;10.629;106.29;0;0;0;0;0;165;0;0;73.66
24; EMBORCACAO   ;1;4;29.8;298;0;0;0;0;0;253;0;0;130.3
25; NOVA PONTE   ;1;3;17;170;0;0;0;0;0;197;0;0;96
26; MIRANDA      ;1;3;13.6;136;0;0;0;0;0;232;0;0;66.4
27; CAPIM BRANC1 ;1;3;8.103;81.03;0;0;0;0;0;167;0;0;54.1
28; CAPIM BRANC2 ;1;3;7.049;70.49;0;0;0;0;0;179;0;0;43.4
29; CORUMBA IV   ;1;2;6.46;64.6;0;0;0;0;0;117;0;0;63.35
30; CORUMBA I    ;1;3;12.5;125;0;0;0;0;0;192;0;0;73.5
31; ITUMBIARA    ;1;6;34.7;347;0;0;0;0;0;510;0;0;76
32; CACH.DOURADA ;1;2;1.7;17;0;0;0;0;0;66;0;0;30
32; CACH.DOURADA ;2;3;5.4;54;0;0;0;0;0;210;0;0;30
32; CACH.DOURADA ;3;3;8.4;84;0;0;0;0;0;327;0;0;30
32; CACH.DOURADA ;4;2;10.5;105;0;0;0;0;0;409;0;0;30
33; SAO SIMAO    ;1;6;28.5;285;0;0;0;0;0;442;0;0;70.9
34; I. SOLTEIRA  ;1;4;17.6;176;0;0;0;0;0;490;0;0;41.5
34; I. SOLTEIRA  ;2;11;17;170;0;0;0;0;0;474;0;0;41.5
34; I. SOLTEIRA  ;3;5;17.4;174;0;0;0;0;0;485;0;0;41.5
37; BARRA BONITA ;1;4;3.519;35.19;0;0;0;0;0;186;0;0;21.4
38; A.S. LIMA    ;1;3;4.77;47.7;0;0;0;0;0;259;0;0;22.1
39; IBITINGA     ;1;3;4.383;43.83;0;0;0;0;0;245;0;0;21.2
40; PROMISSAO    ;1;3;8.8;88;0;0;0;0;0;433;0;0;23.1
42; NAVANHANDAVA ;1;3;11.58;115.8;0;0;0;0;0;463;0;0;27.5
43; TRES IRMAOS  ;1;5;16.15;161.5;0;0;0;0;0;440;0;0;41.5
45; JUPIA        ;1;14;11.08;110.8;0;0;0;0;0;594;0;0;21.3
46; P. PRIMAVERA ;1;14;11;110;0;0;0;0;0;650;0;0;18.95
