Codigo;Nome;Barra;Submercado
1; 5G263  _MMGD ;0; SE      
2; 5G266  _MMGD ;0; SE      
3; 5G271  _MMGD ;0; SE      
4; 5G272  _MMGD ;0; SE      
5; 5G273  _MMGD ;0; SE      
6; 5G274  _MMGD ;0; SE      
7; 5G275  _MMGD ;0; SE      
8; 5G276  _MMGD ;0; SE      
9; A3CICL _Cicl ;0; SE      
10; 5G281  _MMGD ;0; SE      
11; 5G282  _MMGD ;0; SE      
12; 5G285  _MMGD ;0; SE      
13; 5G287  _MMGD ;0; SE      
14; 5G288  _MMGD ;0; SE      
15; 5G289  _MMGD ;0; SE      
16; 5G293  _MMGD ;0; SE      
17; 5G294  _MMGD ;0; SE      
18; 5G295  _MMGD ;0; SE      
19; 5G307  _MMGD ;0; SE      
20; 5G309  _MMGD ;0; SE      
21; 5G318  _MMGD ;0; SE      
22; 5G321  _MMGD ;0; SE      
23; 5G322  _MMGD ;0; SE      
24; 5G337  _MMGD ;0; SE      
25; 5G340  _MMGD ;0; SE      
26; 5G342  _MMGD ;0; SE      
27; 5G348  _MMGD ;0; SE      
28; A2ALTO _ALTO ;0; SE      
29; A2BPC  _Barr ;0; SE      
30; A2BREA _BREJ ;0; SE      
31; A2CEDR _CEDR ;0; SE      
32; A2CGR  _CORR ;0; SE      
33; A2FUIL _FUNI ;0; SE      
34; 5G353  _MMGD ;0; SE      
35; 5G362  _MMGD ;0; SE      
36; 5G382  _MMGD ;0; SE      
37; 5G392  _MMGD ;0; SE      
38; 5G399  _MMGD ;0; SE      
39; GTCUFG _CJGU ;0; SE      
40; A6UDM  _CJ D ;0; SE      
41; 5G759  _MMGD ;0; SE      
42; 5G762  _MMGD ;0; SE      
43; 5G764  _MMGD ;0; SE      
44; 5G767  _MMGD ;0; SE      
45; 5G768  _MMGD ;0; SE      
46; 5G769  _MMGD ;0; SE      
47; 5G772  _MMGD ;0; SE      
48; 5G775  _MMGD ;0; SE      
49; 5G776  _MMGD ;0; SE      
50; 5G777  _MMGD ;0; SE      
51; 5G778  _MMGD ;0; SE      
52; 5G782  _MMGD ;0; SE      
53; 5G783  _MMGD ;0; SE      
54; 5G784  _MMGD ;0; SE      
55; 5G786  _MMGD ;0; SE      
56; 5G791  _MMGD ;0; SE      
57; 5G796  _MMGD ;0; SE      
