Codigo;Nome;VolInic;Vmin;Vmax;Tipo;Jusante;Desvio;Submercado;PenalVert;PenalTurb;ProdEsp;Turbina;Perda
1; CAMARGOS     ;786.09;120;792;RV     ;2;   -   ; SE     ;0.2;0.8;0.008767;Kaplan;0.095
2; ITUTINGA     ;11;11;11;FD     ;4;   -   ; SE     ;0.2;0.8;0.008649;Kaplan;0.631
4; FUNIL-GRANDE ;304;304;304;FD     ;6;   -   ; SE     ;0.2;0.8;0.00901;Kaplan;0.394
6; FURNAS       ;16145.84;5733;22950;RV     ;7;   -   ; SE     ;0.2;0.8;0.008996;Kaplan;0.803
7; M. DE MORAES ;3636.25;1540;4040;RV     ;8;   -   ; SE     ;0.2;0.8;0.008657;Kaplan;1.141
8; ESTREITO     ;1337.87;1245;1423.15;RV     ;9;   -   ; SE     ;0.2;0.8;0.00889;Kaplan;0.899
9; JAGUARA      ;425.79;360;450;RV     ;10;   -   ; SE     ;0.2;0.8;0.008944;Kaplan;0.502
10; IGARAPAVA    ;480;480;480;FD     ;11;   -   ; SE     ;0.2;0.8;0.008996;Kaplan;0.17
11; VOLTA GRANDE ;2166.92;1976;2244;RV     ;12;   -   ; SE     ;0.2;0.8;0.008996;Kaplan;0.168
12; P. COLOMBIA  ;1499.45;1291;1524.5;RV     ;17;   -   ; SE     ;0.2;0.8;0.009071;Kaplan;0.228
14; CACONDE      ;529.6;51;555;RV     ;15;   -   ; SE     ;0.2;0.8;0.008558;Kaplan;0.869
15; E. DA CUNHA  ;14;14;14;FD     ;16;   -   ; SE     ;0.2;0.8;0.008602;Kaplan;0.726
16; A.S.OLIVEIRA ;25;25;25;FD     ;17;   -   ; SE     ;0.2;0.8;0.008599;Kaplan;0.186
17; MARIMBONDO   ;5454.1;890;6150;RV     ;18;   -   ; SE     ;0.2;0.8;0.00907;Kaplan;0.819
18; A. VERMELHA  ;9763.76;5856;11025;RV     ;34;   -   ; SE     ;0.2;0.8;0.008825;Kaplan;0.751
20; BATALHA      ;1676.46;430.05;1781.61;RV     ;21;   -   ; SE     ;0.2;0.8;0.009025;Kaplan;1.2
21; SERRA FACAO  ;3836.75;1752;5199;RV     ;24;   -   ; SE     ;0.2;0.8;0.008762;Kaplan;0.692
24; EMBORCACAO   ;12694.52;4669;17725;RV     ;31;   -   ; SE     ;0.2;0.8;0.00904;Kaplan;0.983
25; NOVA PONTE   ;7196.14;2412;12792;RV     ;26;   -   ; SE     ;0.2;0.8;0.008978;Kaplan;1.68
26; MIRANDA      ;1082.16;974;1120;RV     ;27;   -   ; SE     ;0.2;0.8;0.008834;Kaplan;0.72
27; CAPIM BRANC1 ;234.45;228.27;241.13;RV     ;28;   -   ; SE     ;0.2;0.8;0.008995;Kaplan;1.837
28; CAPIM BRANC2 ;878.48;878;879;RV     ;31;   -   ; SE     ;0.2;0.8;0.009077;Kaplan;0.519
29; CORUMBA IV   ;3589.82;2936.6;3708;RV     ;203;   -   ; SE     ;0.2;0.8;0.008746;Kaplan;1.592
30; CORUMBA I    ;1435.62;470;1500;RV     ;31;   -   ; SE     ;0.2;0.8;0.008845;Kaplan;0.693
31; ITUMBIARA    ;13780.24;4573;17027;RV     ;32;   -   ; SE     ;0.2;0.8;0.008958;Kaplan;0.752
32; CACH.DOURADA ;460;460;460;FD     ;33;   -   ; SE     ;0.2;0.8;0.008568;Kaplan;0.594
33; SAO SIMAO    ;12182.12;7000;12540;RV     ;34;   -   ; SE     ;0.2;0.8;0.009104;Kaplan;0.815
34; I. SOLTEIRA  ;20590.01;15563;21060;RV     ;45;43; SE     ;0.2;0.8;0.00865;Kaplan;0.544
37; BARRA BONITA ;2927.41;569;3135;RV     ;38;   -   ; SE     ;0.2;0.8;0.008845;Kaplan;0.406
38; A.S. LIMA    ;528.98;485.29;544.2;RV     ;39;   -   ; SE     ;0.2;0.8;0.008333;Kaplan;0.429
39; IBITINGA     ;971.36;926.91;983.16;RV     ;40;   -   ; SE     ;0.2;0.8;0.008438;Kaplan;0.408
40; PROMISSAO    ;7308.62;5280;7408;RV     ;42;   -   ; SE     ;0.2;0.8;0.008798;Kaplan;0.368
