CodigoUTE;NomeUTE;Unidade;Pmin;Pmax;Ton;Toff;GerInic;StatusInic;Tinic;RupInic;RdownInic;TRampaInic;CVU;CustoPartida;CustoDesliga;Barra;Submercado
1; ANGRA 1      ;1;460;640;168;168;460;1;6367.5;0;0;0;31.17;0;0;0; SE     
4; ST.CRUZ 34   ;3;1;9999999;0;0;0;0;24504;0;0;0;310.41;0;0;0; SE     
4; ST.CRUZ 34   ;4;1;9999999;0;0;0;0;24504;0;0;0;310.41;0;0;0; SE     
12; CUIABA G CC  ;1;145;245;72;24;0;0;41608;0;0;0;850.59;0;0;0; SE     
12; CUIABA G CC  ;2;145;245;72;24;0;0;41112;0;0;0;850.59;0;0;0; SE     
12; CUIABA G CC  ;3;310;490;72;24;0;0;33576;0;0;0;850.59;0;0;0; SE     
13; ANGRA 2      ;1;1080;1350;168;168;1350;1;489.5;0;0;0;20.12;0;0;0; SE     
15; LINHARES     ;1;25;51;168;168;0;0;2208;0;0;0;967.04;0;0;0; SE     
15; LINHARES     ;2;25;51;168;168;0;0;2208;0;0;0;967.04;0;0;0; SE     
15; LINHARES     ;3;25;51;168;168;0;0;2208;0;0;0;967.04;0;0;0; SE     
15; LINHARES     ;4;25;51;168;168;0;0;2208;0;0;0;967.04;0;0;0; SE     
15; LINHARES     ;5;32;36;2;0;0;0;27.5;0;0;0;967.04;0;0;0; SE     
21; MARANHAO V   ;1;200;337.6;120;48;337.6;1;107.5;0;0;0;185.45;0;0;0; N      
24; J.LACERDA C  ;7;180;330;216;80;0;0;791;0;0;0;347.2;0;0;0; S      
25; J.LACERDA B  ;5;80;110;216;80;110;1;338;0;0;0;406.71;0;0;0; S      
25; J.LACERDA B  ;6;80;110;216;80;110;1;1138;0;0;0;406.71;0;0;0; S      
26; J.LACERDA A1 ;1;35;40;216;80;0;0;158;0;0;0;518.9;0;0;0; S      
26; J.LACERDA A1 ;2;35;40;216;80;40;1;167;0;0;0;518.9;0;0;0; S      
27; J.LACERDA A2 ;3;35;55;216;80;55;1;1203.5;0;0;0;416.39;0;0;0; S      
27; J.LACERDA A2 ;4;35;55;216;80;55;1;1440;0;0;0;416.39;0;0;0; S      
35; URUGUAIANA   ;1;120;165;2;2;0;0;24504;0;0;0;1307.12;0;0;0; S      
35; URUGUAIANA   ;2;120;165;2;2;0;0;24504;0;0;0;1307.12;0;0;0; S      
36; MARANHAO IV  ;1;200;337.6;120;48;337.6;1;109.5;0;0;0;185.45;0;0;0; N      
43; TERMOBAHIA   ;1;95;185.891;168;168;165;1;1440;0;0;0;1008.29;0;0;0; NE     
46; N.VENECIA 2  ;1;109.3;178.213;120;48;0;0;306;0;0;0;308.35;0;0;0; N      
46; N.VENECIA 2  ;2;163.3;270.467;120;48;265;1;33;0;0;0;308.35;0;0;0; N      
47; TERMORIO     ;1;270;355.2;12;4;0;0;1145.5;0;0;0;867.12;0;0;0; SE     
47; TERMORIO     ;2;397;512;12;4;0;0;1343;0;0;0;867.12;0;0;0; SE     
47; TERMORIO     ;3;397;512;12;4;0;0;42024;0;0;0;867.12;0;0;0; SE     
47; TERMORIO     ;4;397;512;12;4;0;0;5592;0;0;0;867.12;0;0;0; SE     
