USIH ;    Nome      ;SegFPHA; Fcorrec ;    Rhs     ;    Varm     ;    Qtur     ;    Qlat     
1; CAMARGOS     ;1;1;-10.7284;0.016954;0.232556;-0.004352
1; CAMARGOS     ;2;1;-7.3267;0.011302;0.235301;-0.002485
1; CAMARGOS     ;3;1;-7.1849;0.011302;0.233976;-0.003783
1; CAMARGOS     ;4;1;-4.2644;0.006521;0.236502;-0.0013
1; CAMARGOS     ;5;1;-3.1266;0.004781;0.236721;-0.001474
1; CAMARGOS     ;6;1;0;0;0.237922;-0.000295
1; CAMARGOS     ;7;1;1.6466;0.016954;0.155453;-0.005571
1; CAMARGOS     ;8;1;13.6444;0;0.151194;0
2; ITUTINGA     ;1;1;0;0;0.247525;-0.001344
2; ITUTINGA     ;2;1;0.5414;0;0.237375;-0.003764
2; ITUTINGA     ;3;1;1.3597;0;0.229704;-0.005075
2; ITUTINGA     ;4;1;1.8507;0;0.226636;-0.006021
4; FUNIL-GRANDE ;1;1;0;0;0.364231;-0.003389
4; FUNIL-GRANDE ;2;1;2.6315;0;0.343476;-0.010284
4; FUNIL-GRANDE ;3;1;6.813;0;0.326986;-0.015457
4; FUNIL-GRANDE ;4;1;11.757;0;0.313988;-0.019504
6; FURNAS       ;1;1;-109.3264;0.01194;0.789061;-0.006982
6; FURNAS       ;2;1;-103.2222;0.011274;0.789674;-0.005863
6; FURNAS       ;3;1;-57.5341;0.006636;0.791807;-0.005939
6; FURNAS       ;4;1;-53.5099;0.00597;0.795504;-0.004805
6; FURNAS       ;5;1;-51.2005;0.00597;0.79242;-0.00537
6; FURNAS       ;6;1;-30.4349;0.002985;0.815166;-0.002729
6; FURNAS       ;7;1;-24.1028;0.002985;0.79825;-0.004435
6; FURNAS       ;8;1;0;0;0.817912;-0.001301
7; M. DE MORAES ;1;1;-87.4979;0.047439;0.350402;-0.013396
7; M. DE MORAES ;2;1;-69.2029;0.035579;0.356931;-0.009069
7; M. DE MORAES ;3;1;-64.7983;0.035579;0.352281;-0.01192
7; M. DE MORAES ;4;1;-47.9967;0.02372;0.362113;-0.004999
7; M. DE MORAES ;5;1;-45.9103;0.02372;0.358809;-0.007764
7; M. DE MORAES ;6;1;-24.4786;0.01186;0.365156;-0.001499
7; M. DE MORAES ;7;1;-24.111;0.01186;0.363991;-0.003858
7; M. DE MORAES ;8;1;0;0;0.367034;-0.00057
8; ESTREITO     ;1;0.99774;0;0.244453;0.528626;-0.005298
8; ESTREITO     ;2;0.99774;0;0.203387;0.532469;-0.007239
8; ESTREITO     ;3;0.99774;0;0.057309;0.550694;-0.005131
8; ESTREITO     ;4;0.99774;0;0.014934;0.558624;-0.003098
8; ESTREITO     ;5;0.99774;0;0;0.564213;-0.000782
8; ESTREITO     ;6;0.99774;1.1978;0.264624;0.52611;-0.008979
8; ESTREITO     ;7;0.99774;2.6604;0.297463;0.523037;-0.006896
8; ESTREITO     ;8;0.99774;10.2097;0.353965;0.515106;-0.008513
8; ESTREITO     ;9;0.99774;18.9377;0.375739;0.508994;-0.010125
8; ESTREITO     ;10;0.99774;20.368;0.381092;0.507992;-0.010125
8; ESTREITO     ;11;0.99774;21.2095;0.38739;0.507403;-0.010125
9; JAGUARA      ;1;0.99804;0;0.187693;0.383442;-0.004575
9; JAGUARA      ;2;0.99804;0;0.058679;0.39783;-0.006052
9; JAGUARA      ;3;0.99804;0;0.015711;0.405018;-0.003511
9; JAGUARA      ;4;0.99804;0;0;0.410275;-0.000864
9; JAGUARA      ;5;0.99804;0.8353;0.206256;0.380337;-0.010082
9; JAGUARA      ;6;0.99804;1.414;0.231973;0.378186;-0.00852
9; JAGUARA      ;7;0.99804;5.2811;0.289263;0.370998;-0.011086
9; JAGUARA      ;8;0.99804;11.6228;0.320667;0.363139;-0.013994
9; JAGUARA      ;9;0.99804;33.3207;0;0.363085;-0.013994
10; IGARAPAVA    ;1;1;0;0;0.158249;-0.001466
10; IGARAPAVA    ;2;1;2.4243;0;0.151144;-0.004835
10; IGARAPAVA    ;3;1;7.7419;0;0.143352;-0.007741
10; IGARAPAVA    ;4;1;15.8181;0;0.135463;-0.009785
11; VOLTA GRANDE ;1;0.99854;0;0.03797;0.240125;-0.0024
