De;Para;Capacidade;Reatancia;CodigoLinha
1;2;600;0.0139;1
1;3;600;0.2112;2
1;5;600;0.0845;3
2;4;600;0.1267;4
2;6;600;0.192;5
3;9;600;0.119;6
3;24;600;0.0839;7
4;9;600;0.1037;8
5;10;600;0.0883;9
6;10;600;0.0605;10
7;8;600;0.0614;11
8;9;600;0.1651;12
8;10;600;0.1651;13
9;11;600;0.0839;14
9;12;600;0.0839;15
10;11;600;0.0839;16
10;12;600;0.0839;17
11;13;600;0.0476;18
11;14;600;0.0418;19
12;13;600;0.0476;20
12;23;600;0.0966;21
13;23;600;0.0865;22
14;16;600;0.0389;23
15;16;600;0.0173;24
15;21;600;0.049;25
15;24;600;0.0519;26
16;17;600;0.0259;27
16;19;600;0.0231;28
17;18;600;0.0144;29
17;22;600;0.1053;30
18;21;600;0.0259;31
19;20;600;0.0396;32
20;23;600;0.0216;33
21;22;600;0.0678;34
