PeriodoInicial;PeriodoFinal;CodigoUsina;NomeUsina;Variavel;Linf;Lsup
I;F;108;Traicao; QBOM   ;     -     ;0
I;F;109;Pedreira; QBOM   ;     -     ;0
I;F;14; CACONDE      ;DEFLU;     -     ;600
I;F;14; CACONDE      ;DEFLU;32;     -     
I;F;16; A.S.OLIVEIRA  ;DEFLU;     -     ;550
I;F;16; A.S.OLIVEIRA  ;DEFLU;19;     -     
I;F;37; BARRA BONITA  ;DEFLU;     -     ;1300
I;F;40; PROMISSAO     ;DEFLU;160;     -     
I;F;40; PROMISSAO     ;DEFLU;     -     ;1400
I;F;284; FERREIRA GOM  ;DEFLU;52.1;     -     
I;F;185; BARRA BRAUNA  ;DEFLU;30;     -     
I;F;249; OURINHOS      ;DEFLU;     -     ;2000
25;48;103; FOZ CHAPECO   ;DEFLU;     -     ;1000
I;F;110; ERNESTINA     ;DEFLU;     -     ;750
I;F;111; PASSO REAL    ;DEFLU;     -     ;2400
I;F;112; JACUI         ;DEFLU;     -     ;2400
I;F;114; D. FRANCISCA  ;DEFLU;     -     ;1450
I;F;114; D. FRANCISCA  ;DEFLU;100;     -     
I;F;87; CANASTRA      ;DEFLU;0.25;     -     
I;F;121; PARAIBUNA     ;DEFLU;     -     ;120
I;F;121; PARAIBUNA     ;DEFLU;10;     -     
I;F;46; P. PRIMAVERA  ;DEFLU;     -     ;24000
I;F;46; P. PRIMAVERA  ;DEFLU;4600;     -     
I;F;228; COLIDER       ;DEFLU;     -     ;1800
I;F;73; JORDAO        ;DEFLU;10;     -     
I;F;82; SALTO CAXIAS  ;DEFLU;     -     ;30000
I;F;82; SALTO CAXIAS  ;DEFLU;200;     -     
I;F;57; MAUA          ;DEFLU;     -     ;2400
I;F;83; BAIXO IGUACU  ;DEFLU;350;     -     
I;F;57; MAUA          ;DEFLU;58.8;     -     
I;F;148; IRAPE         ;DEFLU;     -     ;2100
I;F;192; GUILMAN-AMOR  ;DEFLU;     -     ;550
I;F;193; SA CARVALHO   ;DEFLU;20;     -     
I;F;193; SA CARVALHO   ;DEFLU;     -     ;550
I;F;143; AIMORES       ;DEFLU;     -     ;7000
I;F;24; EMBORCACAO    ;DEFLU;     -     ;5000
I;F;1; CAMARGOS      ;DEFLU;34;     -     
I;F;2; ITUTINGA      ;DEFLU;34;     -     
I;F;2; ITUTINGA      ;DEFLU;     -     ;1170
I;F;10; IGARAPAVA     ;DEFLU;     -     ;4500
I;F;156; TRES MARIAS   ;DEFLU;150;     -     
I;F;156; TRES MARIAS   ;DEFLU;150;     -     
