CodigoSubmercado;Periodo;Demanda;CustoDeficit
1;1;43080;10000
1;2;41856;10000
1;3;41182;10000
1;4;40531;10000
1;5;39986;10000
1;6;39523;10000
1;7;39107;10000
1;8;38979;10000
1;9;38957;10000
1;10;39340;10000
1;11;40368;10000
1;12;41448;10000
1;13;42613;10000
1;14;43709;10000
1;15;44760;10000
1;16;45956;10000
1;17;47481;10000
1;18;48622;10000
1;19;49337;10000
1;20;50237;10000
1;21;51239;10000
1;22;51933;10000
1;23;52402;10000
1;24;52435;10000
1;25;51970;10000
1;26;52163;10000
1;27;52953;10000
1;28;53486;10000
1;29;53746;10000
1;30;54052;10000
1;31;54211;10000
1;32;54295;10000
1;33;54307;10000
1;34;53943;10000
1;35;53070;10000
1;36;53113;10000
1;37;54066;10000
1;38;56116;10000
1;39;56581;10000
1;40;56407;10000
1;41;56049;10000
1;42;56004;10000
1;43;55456;10000
1;44;54519;10000
1;45;53268;10000
1;46;51812;10000
1;47;50175;10000
1;48;48657;10000
2;1;14410;10000
2;2;13741;10000
2;3;13609;10000
2;4;13391;10000
2;5;13171;10000
2;6;13036;10000
2;7;12924;10000
2;8;12872;10000
2;9;12874;10000
2;10;13042;10000
2;11;13348;10000
2;12;13781;10000
2;13;14208;10000
2;14;14840;10000
2;15;15620;10000
2;16;16415;10000
2;17;17090;10000
2;18;17395;10000
2;19;17418;10000
2;20;17544;10000
2;21;17755;10000
2;22;17970;10000
2;23;18205;10000
2;24;18071;10000
2;25;17475;10000
2;26;17630;10000
2;27;18505;10000
2;28;19063;10000
2;29;19427;10000
2;30;19545;10000
2;31;19401;10000
2;32;19472;10000
2;33;19510;10000
2;34;19344;10000
2;35;18937;10000
2;36;18534;10000
2;37;18278;10000
2;38;18987;10000
2;39;19771;10000
2;40;20010;10000
2;41;19769;10000
2;42;19564;10000
2;43;19489;10000
2;44;19172;10000
2;45;18676;10000
2;46;18111;10000
2;47;17487;10000
2;48;16782;10000
3;1;14107;10000
3;2;13878;10000
3;3;13660;10000
3;4;13479;10000
3;5;13336;10000
3;6;13193;10000
3;7;13040;10000
3;8;12953;10000
3;9;12926;10000
3;10;12845;10000
3;11;12717;10000
3;12;12513;10000
3;13;12231;10000
3;14;12300;10000
3;15;12707;10000
3;16;13064;10000
3;17;13422;10000
3;18;13663;10000
3;19;13801;10000
3;20;13949;10000
3;21;14112;10000
3;22;14221;10000
3;23;14298;10000
3;24;14203;10000
3;25;13902;10000
3;26;13882;10000
3;27;14153;10000
3;28;14380;10000
3;29;14594;10000
3;30;14793;10000
3;31;14961;10000
3;32;15023;10000
3;33;15063;10000
3;34;14977;10000
3;35;14682;10000
3;36;14911;10000
3;37;15593;10000
3;38;15790;10000
3;39;15753;10000
3;40;15726;10000
3;41;15696;10000
3;42;15849;10000
3;43;16018;10000
3;44;16080;10000
3;45;15973;10000
3;46;15788;10000
3;47;15506;10000
3;48;15184;10000
4;1;8756;10000
4;2;8661;10000
4;3;8619;10000
4;4;8542;10000
4;5;8464;10000
4;6;8390;10000
4;7;8314;10000
4;8;8235;10000
4;9;8183;10000
4;10;8123;10000
4;11;8107;10000
4;12;8006;10000
4;13;7843;10000
4;14;7736;10000
4;15;7701;10000
4;16;7780;10000
4;17;7961;10000
4;18;8081;10000
4;19;8168;10000
4;20;8243;10000
4;21;8327;10000
4;22;8384;10000
4;23;8398;10000
4;24;8341;10000
4;25;8219;10000
4;26;8324;10000
4;27;8582;10000
4;28;8772;10000
4;29;8943;10000
4;30;9048;10000
4;31;9075;10000
4;32;9081;10000
4;33;9075;10000
4;34;8993;10000
4;35;8823;10000
4;36;8668;10000
4;37;8596;10000
4;38;8847;10000
4;39;8976;10000
4;40;9047;10000
4;41;9155;10000
4;42;9241;10000
4;43;9382;10000
4;44;9490;10000
4;45;9526;10000
4;46;9508;10000
4;47;9484;10000
4;48;9374;10000
