Codigo;Nome;Barra;Submercado
1; 5G263  _MMGD ;263; SE      
2; 5G266  _MMGD ;266; SE      
3; 5G271  _MMGD ;271; SE      
4; 5G272  _MMGD ;272; SE      
5; 5G273  _MMGD ;273; SE      
6; 5G274  _MMGD ;274; SE      
7; 5G275  _MMGD ;275; SE      
8; 5G276  _MMGD ;276; SE      
9; A3CICL _Cicl ;276; SE      
10; 5G281  _MMGD ;281; SE      
11; 5G282  _MMGD ;282; SE      
12; 5G285  _MMGD ;285; SE      
13; 5G287  _MMGD ;287; SE      
14; 5G288  _MMGD ;288; SE      
15; 5G289  _MMGD ;289; SE      
16; 5G293  _MMGD ;293; SE      
17; 5G294  _MMGD ;294; SE      
18; 5G295  _MMGD ;295; SE      
19; 5G307  _MMGD ;307; SE      
20; 5G309  _MMGD ;309; SE      
21; 5G318  _MMGD ;318; SE      
22; 5G321  _MMGD ;321; SE      
23; 5G322  _MMGD ;322; SE      
24; 5G337  _MMGD ;337; SE      
25; 5G340  _MMGD ;340; SE      
26; 5G342  _MMGD ;342; SE      
27; 5G348  _MMGD ;348; SE      
28; A2ALTO _ALTO ;348; SE      
29; A2BPC  _Barr ;348; SE      
30; A2BREA _BREJ ;348; SE      
31; A2CEDR _CEDR ;348; SE      
32; A2CGR  _CORR ;348; SE      
33; A2FUIL _FUNI ;348; SE      
34; 5G353  _MMGD ;353; SE      
35; 5G362  _MMGD ;362; SE      
36; 5G382  _MMGD ;382; SE      
37; 5G392  _MMGD ;392; SE      
38; 5G399  _MMGD ;399; SE      
39; GTCUFG _CJGU ;409; SE      
40; A6UDM  _CJ D ;498; SE      
41; 5G759  _MMGD ;759; SE      
42; 5G762  _MMGD ;762; SE      
43; 5G764  _MMGD ;764; SE      
44; 5G767  _MMGD ;767; SE      
45; 5G768  _MMGD ;768; SE      
46; 5G769  _MMGD ;769; SE      
47; 5G772  _MMGD ;772; SE      
48; 5G775  _MMGD ;775; SE      
49; 5G776  _MMGD ;776; SE      
50; 5G777  _MMGD ;777; SE      
51; 5G778  _MMGD ;778; SE      
52; 5G782  _MMGD ;782; SE      
53; 5G783  _MMGD ;783; SE      
54; 5G784  _MMGD ;784; SE      
55; 5G786  _MMGD ;786; SE      
56; 5G791  _MMGD ;791; SE      
57; 5G796  _MMGD ;796; SE      
58; 5G797  _MMGD ;797; SE      
59; 5G798  _MMGD ;798; SE      
60; 5G826  _MMGD ;826; S       
61; 5G828  _MMGD ;828; S       
62; 5G832  _MMGD ;832; S       
63; 5G833  _MMGD ;833; S       
64; 5G835  _MMGD ;835; S       
65; 5G836  _MMGD ;836; S       
66; 5G838  _MMGD ;838; S       
67; 5G840  _MMGD ;840; S       
68; 5G841  _MMGD ;841; S       
69; 5G842  _MMGD ;842; S       
70; 5G844  _MMGD ;844; S       
71; 5G845  _MMGD ;845; S       
72; 5G847  _MMGD ;847; S       
73; D2JMF  _Artu ;848; S       
74; 5G849  _MMGD ;849; S       
75; 5G850  _MMGD ;850; S       
76; 5G851  _MMGD ;851; S       
