CodigoSubmercado;Periodo;Demanda;CustoDeficit
1;1;43080;1000000
1;2;41856;1000000
1;3;41182;1000000
1;4;40531;1000000
1;5;39986;1000000
1;6;39523;1000000
1;7;39107;1000000
1;8;38979;1000000
1;9;38957;1000000
1;10;39340;1000000
1;11;40368;1000000
1;12;41448;1000000
1;13;42613;1000000
1;14;43709;1000000
1;15;44760;1000000
1;16;45956;1000000
1;17;47481;1000000
1;18;48622;1000000
1;19;49337;1000000
1;20;50237;1000000
1;21;51239;1000000
1;22;51933;1000000
1;23;52402;1000000
1;24;52435;1000000
1;25;51970;1000000
1;26;52163;1000000
1;27;52953;1000000
1;28;53486;1000000
1;29;53746;1000000
1;30;54052;1000000
1;31;54211;1000000
1;32;54295;1000000
1;33;54307;1000000
1;34;53943;1000000
1;35;53070;1000000
1;36;53113;1000000
1;37;54066;1000000
1;38;56116;1000000
1;39;56581;1000000
1;40;56407;1000000
1;41;56049;1000000
1;42;56004;1000000
1;43;55456;1000000
1;44;54519;1000000
1;45;53268;1000000
1;46;51812;1000000
1;47;50175;1000000
1;48;48657;1000000
1;49;44324;1000000
1;50;43077;1000000
1;51;52359;1000000
1;52;54932;1000000
1;53;50015;1000000
1;54;45069;1000000
1;55;42845;1000000
1;56;51663;1000000
1;57;54405;1000000
1;58;49730;1000000
1;59;44986;1000000
1;60;42895;1000000
1;61;51874;1000000
1;62;54455;1000000
1;63;49784;1000000
1;64;43982;1000000
1;65;51989;1000000
2;1;14410;1000000
2;2;13741;1000000
2;3;13609;1000000
2;4;13391;1000000
2;5;13171;1000000
2;6;13036;1000000
2;7;12924;1000000
2;8;12872;1000000
2;9;12874;1000000
2;10;13042;1000000
2;11;13348;1000000
2;12;13781;1000000
2;13;14208;1000000
2;14;14840;1000000
2;15;15620;1000000
2;16;16415;1000000
2;17;17090;1000000
2;18;17395;1000000
2;19;17418;1000000
2;20;17544;1000000
2;21;17755;1000000
2;22;17970;1000000
2;23;18205;1000000
2;24;18071;1000000
2;25;17475;1000000
2;26;17630;1000000
2;27;18505;1000000
2;28;19063;1000000
2;29;19427;1000000
2;30;19545;1000000
2;31;19401;1000000
2;32;19472;1000000
2;33;19510;1000000
2;34;19344;1000000
2;35;18937;1000000
2;36;18534;1000000
2;37;18278;1000000
2;38;18987;1000000
2;39;19771;1000000
2;40;20010;1000000
2;41;19769;1000000
2;42;19564;1000000
2;43;19489;1000000
2;44;19172;1000000
2;45;18676;1000000
2;46;18111;1000000
2;47;17487;1000000
2;48;16782;1000000
2;49;14235;1000000
2;50;14078;1000000
2;51;17761;1000000
2;52;18173;1000000
2;53;15971;1000000
2;54;14306;1000000
2;55;13876;1000000
2;56;17725;1000000
2;57;18450;1000000
